"group_names","Province","dir_EBLUP_ps","dir_RF_ps","EBLUP_tau","MQ_tau","RF_tau","RFt_tau"
12,"Varese",0.310324461262812,0.294900815188285,0.513060081183244,0.398861401684599,0.541214085420828,0.531171908785538
13,"Como",0.811695462455626,0.837563170268558,0.510520012497235,0.396865398637692,0.545670137069703,0.536441908111156
14,"Sondrio",0.69009220593761,0.684721626018529,0.487638415475431,0.376187053190945,0.52490622139422,0.514263059109703
15,"Milano",0.861165941253581,0.733412332810147,0.510911626118917,0.396739750508008,0.528257279297051,0.513020117154424
16,"Bergamo",0.735398558515103,0.657194700503632,0.514655857217761,0.400826557339256,0.539404491474507,0.534468968145861
17,"Brescia",0.76092676677195,0.598347157421383,0.514689424826013,0.40094141086586,0.53753483857062,0.532224318873137
18,"Pavia",0.397078545502666,0.475890954851852,0.510179031331161,0.397738176713595,0.535090213142112,0.523409066589142
19,"Cremona",-0.25184581418705,-0.518036008753004,0.507509957819625,0.394109534331923,0.532126602172919,0.521779062629927
20,"Mantova",1.12903793136465,1.23374341761548,0.509507837209636,0.396439983010236,0.529217563526844,0.521067266289478
41,"Pesaro-Urbino",0.592477804321467,0.260284917578097,0.50063126976586,0.388095703523245,0.524448005517453,0.513774628521038
42,"Ancona",0.941604521652836,0.560972902930176,0.509924615629894,0.397517480468419,0.50682572983197,0.494185807349222
43,"Macerata",0.859121297899319,0.89002202243201,0.508750151353269,0.396297145368067,0.521018348587143,0.510580728280432
44,"Ascoli-Piceno",0.64423770703279,0.506163658172593,0.500056390516193,0.389610341852249,0.513450321921994,0.501057218801714
45,"Massa-Carrara",0.29674492475524,0.457884000986706,0.485903408387495,0.375417851096458,0.526503656422019,0.512303275650321
46,"Lucca",0.640317183884076,0.338817691539445,0.495934378714356,0.383699393089454,0.544916075389077,0.535583040284495
47,"Pistoia",0.97022111057707,1.04216747295353,0.498350822865069,0.384626790670533,0.538795492320725,0.53147658546858
48,"Firenze",0.607022216703465,0.496221091966705,0.507207644093597,0.393481513394624,0.534219500435015,0.52120772635665
49,"Livorno",0.713083350760227,0.64185725606783,0.489104668436145,0.379816284303669,0.517066174901151,0.50297861887994
50,"Pisa",0.592313275008545,0.491386000491044,0.506497975550909,0.39510701349371,0.521023884275406,0.508040415496891
51,"Arezzo",0.775195237681453,0.548998141727521,0.509744457844718,0.397095610063253,0.528100954088437,0.518199066092649
52,"Siena",0.664757304772612,0.798094827360851,0.49576905678404,0.384458777338855,0.503005705187556,0.487893849517327
53,"Grosseto",0.0603948958459277,0.0850115876339235,0.476557158696396,0.365417872763338,0.505794981338035,0.491622269246935
54,"Perugia",0.501508172358083,0.506442948017471,0.500937286850023,0.390140455022969,0.509123212594146,0.494018536015268
55,"Terni",0.602696561645711,0.546724920581344,0.495433820136197,0.384451518294773,0.511339615706797,0.49482739874583
61,"Caserta",-0.281439050676058,-0.616239441187975,0.441063075539871,0.332226998043359,0.432968032591658,0.42373416217127
62,"Benevento",-0.393954004414949,-0.425963468197139,0.447555729711542,0.338905526577998,0.448787796422353,0.435736276690287
63,"Napoli",0.623989084182764,0.603718252659045,0.450627086239503,0.341057619359354,0.444329587496373,0.435278287691293
64,"Avellino",1.4034433441265,1.32404743534023,0.432039046674221,0.325953692253046,0.461866386230538,0.451246675848635
65,"Salerno",0.901570110165022,0.566567456455051,0.445789717535394,0.337861939886675,0.442847533569068,0.431153297562929
81,"Trapani",0.781047627115594,0.604086452589387,0.435315116567487,0.325711081531418,0.444149001627675,0.4318678096587
82,"Palermo",0.356368496047915,0.140817451747036,0.43049629559529,0.321200434124162,0.434832877199595,0.423287436863403
83,"Messina",0.213933933363457,0.232293991577384,0.430807700157107,0.322449626662557,0.456020211106662,0.44098574175259
84,"Agrigento",0.238718813230825,0.120725467139275,0.413361987546173,0.305023930331988,0.41035845716914,0.397390634443358
85,"Caltanissetta",0.44479305597525,0.465115472321957,0.403141331703555,0.295459808181457,0.40532721266238,0.394907313509021
86,"Enna",0.391370167820543,0.305208777484326,0.423413078631059,0.314077643260873,0.432714827979774,0.422617454426275
87,"Catania",0.631398969576244,0.722093702180679,0.412825147890652,0.303857556776716,0.419790842503756,0.40581521818609
88,"Ragusa",0.217206365271373,0.092724087831737,0.456728200429344,0.347457024192307,0.426472219653583,0.420259352219841
89,"Siracusa",0.850696246625345,0.799563087042703,0.415320532330952,0.307455283207096,0.428319098878049,0.413465303760045
97,"Lecco",0.367557222842592,0.274340026433977,0.518828925479811,0.405325133551232,0.541643877210191,0.531890831642233
98,"Lodi",-0.396857183408446,-0.263328404028567,0.493699634618464,0.3799836470945,0.520765637473923,0.509852817447277
100,"Prato",-0.00903244118879165,-0.0476484039559733,0.504930603012015,0.391067700538562,0.535824838953184,0.531069244134587
